

-- Submitter: ui.indiacms.res.in : <144.16.111.6:9653> : ui.indiacms.res.in
 ID      OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD               
1985357.0   pdas           12/30 13:00   0+01:24:11 R  0   415.0 Job_fake_MuonEG_20
1985358.0   pdas           12/30 13:00   0+00:35:25 R  0   293.0 Job_fake_MuonEG_20
1985359.0   pdas           12/30 13:10   0+00:10:09 R  0   0.0  Job_fake_DoubleMuo
1985360.0   pdas           12/30 13:10   0+00:03:02 R  0   0.0  Job_fake_DoubleMuo
1985361.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_DoubleMuo
1985362.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_DoubleMuo
1985363.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_DoubleMuo
1985364.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_DoubleMuo
1985365.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_DoubleMuo
1985366.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985367.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985368.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985369.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985370.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985371.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985372.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_MuonEG_20
1985380.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985381.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985382.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985383.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985384.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985385.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo
1985386.0   pdas           12/30 13:10   0+00:00:00 I  0   0.0  Job_fake_SingleMuo

80 jobs; 0 completed, 0 removed, 19 idle, 61 running, 0 held, 0 suspended
